20:04:33 - Starting servent [3|localhost:1400]
20:04:33 - Pausing for 1000 ms
20:04:34 - Pausing for 59000 ms
20:04:35 - Sending message [ID: 29][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=29, 4=0}
20:04:35 - Sending message [ID: 30][SOURCE: 3][3->4][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=30, 4=0}
20:04:35 - Sending message [ID: 41][SOURCE: 3][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=41, 4=0}
20:04:35 - Sending message [ID: 38][SOURCE: 3][3->1][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=38, 4=0}
20:04:35 - Sending message [ID: 44][SOURCE: 3][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=44, 4=0}
20:04:35 - Sending message [ID: 5][SOURCE: 3][3->2][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=5, 4=0}
20:04:35 - Sending message [ID: 17][SOURCE: 3][3->1][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=17, 4=0}
20:04:35 - Sending message [ID: 13][SOURCE: 3][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=13, 4=0}
20:04:35 - Sending message [ID: 33][SOURCE: 3][3->2][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=33, 4=0}
20:04:35 - Sending message [ID: 24][SOURCE: 3][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=24, 4=0}
20:04:35 - Sending message [ID: 7][SOURCE: 3][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=7, 4=0}
20:04:35 - Sending message [ID: 43][SOURCE: 3][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=43, 4=0}
20:04:35 - Sending message [ID: 39][SOURCE: 3][3->1][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=39, 4=0}
20:04:35 - Sending message [ID: 20][SOURCE: 3][3->4][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=20, 4=0}
20:04:35 - Sending message [ID: 6][SOURCE: 3][3->1][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=6, 4=0}
20:04:35 - Sending message [ID: 15][SOURCE: 3][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=15, 4=0}
20:04:35 - Sending message [ID: 1][SOURCE: 3][3->2][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=1, 4=0}
20:04:35 - Sending message [ID: 37][SOURCE: 3][3->2][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=37, 4=0}
20:04:35 - Sending message [ID: 9][SOURCE: 3][3->4][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=9, 4=0}
20:04:35 - Sending message [ID: 7][SOURCE: 3][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=7, 4=0}
20:04:35 - Sending message [ID: 8][SOURCE: 3][3->1][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=8, 4=0}
